(-1.64, 1.61, 7.87)
(-1.63, 1.67, 7.98)
(-1.71, 1.66, 7.98)
(-1.68, 1.66, 7.98)
(-1.62, 1.71, 7.98)
(-1.61, 1.74, 7.98)
(-1.64, 1.71, 7.98)
(-1.64, 1.71, 7.98)
(-1.74, 1.70, 7.98)
(-2.05, 1.59, 7.98)
(-2.01, 1.59, 7.98)
(-2.14, 1.53, 7.98)
(-2.24, 1.49, 7.98)
(-2.31, 1.56, 7.98)
(-2.34, 1.54, 7.98)
(-2.35, 1.56, 7.98)
(-2.39, 1.50, 7.98)
(-2.62, 1.51, 7.98)
(-2.61, 1.44, 7.98)
(-2.71, 1.51, 7.98)
(-2.65, 1.38, 7.98)
(-2.72, 1.43, 7.98)
(-2.66, 1.53, 7.98)
(-2.58, 1.65, 7.98)
(-2.59, 1.57, 7.98)
(-2.68, 1.61, 7.98)
(-2.67, 1.62, 7.98)
(-2.62, 1.63, 7.98)
(-2.64, 1.66, 7.98)
(-2.66, 1.66, 7.98)
(-2.63, 1.67, 7.98)
(-2.69, 1.67, 7.98)
(-2.80, 1.64, 7.98)
(-2.80, 1.67, 7.98)
(-2.96, 1.54, 7.98)
(-3.06, 1.45, 7.98)
(-3.11, 1.43, 7.98)
(-2.98, 1.40, 7.98)
(-2.77, 1.36, 7.98)
(-2.58, 1.35, 7.98)
(-2.72, 1.38, 7.98)
(-2.64, 1.41, 7.98)
(-2.56, 1.42, 7.98)
(-2.53, 1.42, 7.98)
(-2.53, 1.40, 7.98)
(-2.59, 1.37, 7.98)
(-2.60, 1.36, 7.98)
(-2.59, 1.37, 7.98)
(-2.56, 1.37, 7.98)
(-2.51, 1.43, 7.98)
(-2.43, 1.50, 7.98)
(-2.35, 1.56, 7.98)
(-2.39, 1.57, 7.98)
(-2.40, 1.56, 7.98)
(-2.39, 1.56, 7.98)
(-2.38, 1.56, 7.98)
(-2.39, 1.57, 7.98)
(-2.43, 1.58, 7.98)
(-2.42, 1.58, 7.98)
(-2.41, 1.58, 7.98)
(-2.40, 1.58, 7.98)
(-2.39, 1.58, 7.98)
(-2.39, 1.60, 7.98)
(-2.37, 1.61, 7.98)
(-2.38, 1.61, 7.98)
(-2.38, 1.61, 7.98)
(-2.38, 1.60, 7.98)
(-2.38, 1.59, 7.98)
(-2.38, 1.59, 7.98)
(-2.39, 1.59, 7.98)
(-2.23, 1.81, 7.98)
(-2.18, 1.78, 7.98)
(-1.89, 2.00, 7.98)
(-2.00, 2.02, 7.98)
(-1.94, 1.91, 7.98)
(-1.85, 2.00, 7.98)
(-1.80, 2.02, 7.98)
(-1.80, 2.02, 7.98)
(-1.64, 2.07, 7.98)
(-1.62, 2.07, 7.98)
(-1.61, 2.07, 7.98)
(-1.62, 2.06, 7.98)
(-1.63, 2.05, 7.98)
(-1.64, 2.04, 7.98)
(-1.63, 2.03, 7.98)
(-1.62, 2.03, 7.98)
(-1.63, 2.03, 7.98)
(-1.65, 2.02, 7.98)
(-1.66, 2.02, 7.98)
(-1.68, 2.00, 7.98)
(-1.71, 2.00, 7.98)
(-1.62, 2.01, 7.98)
(-1.27, 2.33, 7.98)
(-0.73, 2.71, 7.98)
(-0.60, 2.86, 7.98)
(-0.57, 2.84, 7.98)
(-0.49, 2.79, 7.98)
(-0.45, 2.84, 7.98)
(-0.47, 2.82, 7.98)
